범죄대분류,범죄중분류,없음,전과(1범),전과(2범),전과(3범),전과(4범),전과(5범),전과(6범),전과(7범),전과(8범),전과(9범이상),미상
강력범죄 ,살인기수,122,52,18,24,18,10,7,11,3,46,66
강력범죄 ,살인미수등,141,69,46,39,35,23,27,27,20,145,48
강력범죄 ,강도,537,307,208,156,140,121,113,114,82,600,215
강력범죄 ,강간,1621,702,493,339,260,193,143,130,91,624,1260
강력범죄 ,유사강간,50,24,12,9,5,3,6,4,2,10,11
강력범죄 ,강제추행,4023,1744,1150,750,557,448,352,253,186,1237,1796
강력범죄 ,기타강간·강제추행등,591,269,168,141,93,81,63,46,39,233,163
강력범죄 ,방화,356,175,120,113,66,74,55,53,36,251,87
절도범죄,절도,38181,13345,8366,6084,4662,3842,3083,2519,2037,13623,6916
폭력범죄 ,상해,18150,9387,7316,5602,4552,3705,2986,2384,2088,13626,5410
폭력범죄 ,폭행,22605,12078,9408,7290,5906,4879,3809,3101,2706,17591,76964
폭력범죄 ,체포·감금,159,81,73,58,46,45,24,26,24,122,428
폭력범죄 ,협박,654,318,290,250,175,165,108,104,90,627,1901
폭력범죄 ,약취·유인,59,21,14,18,9,11,10,5,2,26,85
폭력범죄 ,폭력행위등,27122,11348,7523,5747,4280,3577,2813,2161,1792,11227,12268
폭력범죄 ,공갈,712,313,221,183,142,103,89,87,64,576,699
폭력범죄 ,손괴,6280,3601,2741,2261,1658,1477,1086,964,756,5039,3432
지능범죄 ,직무유기,148,38,12,6,2,2,2,0,0,1,591
지능범죄 ,직권남용,108,23,6,2,4,0,0,1,0,0,379
지능범죄 ,증수뢰,275,142,84,47,41,26,17,12,6,32,173
지능범죄 ,통화,45,26,10,8,5,1,3,8,3,27,298
지능범죄 ,문서·인장,4809,1560,919,730,481,465,307,275,198,1427,9235
지능범죄 ,유가증권인지,30,13,12,21,11,14,17,7,7,75,341
지능범죄 ,사기,23773,12006,9642,8102,6459,5669,4786,4014,3500,30715,130643
지능범죄 ,횡령,6201,2639,1823,1399,1111,833,662,497,425,2387,14746
지능범죄 ,배임,1105,557,381,266,196,148,90,59,56,313,5254
풍속범죄 ,성풍속범죄,8949,2368,1310,754,531,403,288,219,184,846,2836
풍속범죄 ,도박범죄,5989,4394,3759,2913,2198,1751,1382,1116,818,3606,1400
특별경제범죄 ,특별경제범죄 ,16371,7649,5711,4360,3282,2606,2109,1653,1337,9308,28922
마약범죄,마약범죄,1167,379,245,190,176,159,154,150,124,1913,392
보건범죄,보건범죄,7887,3900,2498,1706,1176,817,617,463,348,1271,2363
환경범죄,환경범죄,764,516,444,302,232,185,142,92,89,410,412
교통범죄,교통범죄,144153,76308,51006,34915,24777,18344,13546,10270,7724,32390,123323
노동범죄,노동범죄,732,308,252,168,117,115,88,41,41,233,214
안보범죄,안보범죄,34,23,20,14,11,6,2,2,2,12,26
선거범죄,선거범죄,141,60,30,21,17,5,19,8,9,16,83
병역범죄,병역범죄,9090,3719,2409,1676,1115,838,664,464,373,1127,1725
기타,기타,56907,26464,18523,13406,10033,7646,5876,4587,3736,20847,45499
